age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
17 years old,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,21-25 hours,0 days
17 years old,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,None,I have never had sexual intercourse,Once or twice per year,Yes,Yes, ,0 days
18 years old or older,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,At least once per month,Yes,Yes,26-30 hours,1 or 2 days
17 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and a step-parent,Mostly C's,1 day,3 or 4,I don't know,I have never gambled,No,No,11-15 hours,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly C's,0 days,3 or 4,Yes,I have never gambled,No,No,5 hours or less,0 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and a step-parent,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly A's,0 days,None,I don't know,Weekly,Yes,Yes,More than 30 hours,3 to 5 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,11-15 hours,1 or 2 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly A's,0 days,1 or 2,No,I have never gambled,Yes,No,More than 30 hours,0 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,1 or 2 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,I don't know,0 days,1 or 2,No,I have never gambled,No,Yes,None,0 days
17 years old,Male,Senior - 12th,Hispanic or Latino,My mother and my father,I don't know,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
18 years old or older,Male,Senior - 12th,White,My father only,Mostly C's,0 days,5 or more,No,Once or twice per year,No,No,None,1 or 2 days
18 years old or older,Male,Junior - 11th,Other,Someone else not on this list,Mostly E's or F's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,3 to 5 days
17 years old,Male,Junior - 11th,White,My mother only,Mostly C's,0 days,5 or more,No,At least once per month,No,No,16-20 hours,6 to 9 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,No,No,More than 30 hours,0 days
16 years old,Male,Sophomore - 10th,White, ,Mostly A's,9, ,Yes,9, , , ,3 to 5 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
18 years old or older,Male,Senior - 12th,Black,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,6-10 hours,0 days
17 years old,Male,Junior - 11th, ,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,11-15 hours,10 to 19 days
18 years old or older,Male,Senior - 12th, ,My mother and my father,Mostly C's,0 days,3 or 4,No,Once or twice per year,No,No,21-25 hours,0 days
18 years old or older,Female,Junior - 11th,White,My father only,Mostly D's,0 days,1 or 2,No,I have never gambled,Yes,No,None,1 or 2 days
18 years old or older,Male,Senior - 12th,Other,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father, ,0 days,5 or more,No,I have never gambled,No,Yes,6-10 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,5 or more,Yes,I have never gambled,No,No,None,0 days
